codigo_comuna_cut,nombre_comuna_oficial,nombre_comuna_censo,provincia,cantidad_registros_geometricos,presente_en_dataset,area_grados2,perimetro_grados
13101,SANTIAGO,SANTIAGO,SANTIAGO,1,Sí,0.002242030097032474,0.2430930502962123
13102,CERRILLOS,CERRILLOS,SANTIAGO,1,Sí,0.0016283660043432118,0.20470666464911347
13103,CERRO NAVIA,CERRO NAVIA,SANTIAGO,1,Sí,0.0010759649066524484,0.17018034246964373
13104,CONCHALÍ,CONCHALÍ,SANTIAGO,1,Sí,0.001076728960217969,0.1380558258865446
13105,EL BOSQUE,EL BOSQUE,SANTIAGO,1,Sí,0.0013874694371310335,0.15080655858729888
13106,ESTACIÓN CENTRAL,ESTACIÓN CENTRAL,SANTIAGO,1,Sí,0.0013923517055809053,0.19024854219955564
13107,HUECHURABA,HUECHURABA,SANTIAGO,1,Sí,0.0043504797908022015,0.3262509514075716
13108,INDEPENDENCIA,INDEPENDENCIA,SANTIAGO,1,Sí,0.0007131586853222195,0.11258238028834675
13109,LA CISTERNA,LA CISTERNA,SANTIAGO,1,Sí,0.000968786292429254,0.12568649789073208
13110,LA FLORIDA,LA FLORIDA,SANTIAGO,1,Sí,0.006876125956006437,0.5036352368960939
13111,LA GRANJA,LA GRANJA,SANTIAGO,1,Sí,0.0009795606009526067,0.13545623488036776
13112,LA PINTANA,LA PINTANA,SANTIAGO,1,Sí,0.0029598524694852938,0.25984379063305774
13113,LA REINA,LA REINA,SANTIAGO,1,Sí,0.0022734445355092293,0.2442629223332747
13114,LAS CONDES,LAS CONDES,SANTIAGO,1,Sí,0.00960265003712143,0.5196342934487521
13115,LO BARNECHEA,LO BARNECHEA,SANTIAGO,1,Sí,0.09909252949303525,1.4782715529662789
13116,LO ESPEJO,LO ESPEJO,SANTIAGO,1,Sí,0.0007996866670661735,0.11173501359861912
13117,LO PRADO,LO PRADO,SANTIAGO,1,Sí,0.0006362276846613855,0.10736575412487466
13118,MACUL,MACUL,SANTIAGO,1,Sí,0.0012458487019366981,0.15133483037197332
13119,MAIPÚ,MAIPÚ,SANTIAGO,1,Sí,0.013360774033177208,0.6217811979476283
13120,ÑUÑOA,ÑUÑOA,SANTIAGO,1,Sí,0.001636268816794625,0.17711471889012026
13121,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,SANTIAGO,1,Sí,0.0008496589987349298,0.1279853250925826
13122,PEÑALOLÉN,PEÑALOLÉN,SANTIAGO,1,Sí,0.005202122432228571,0.37474687186643735
13123,PROVIDENCIA,PROVIDENCIA,SANTIAGO,1,Sí,0.001396423656336659,0.16076064135370774
13124,PUDAHUEL,PUDAHUEL,SANTIAGO,1,Sí,0.019124277823413194,0.7201757410436388
13125,QUILICURA,QUILICURA,SANTIAGO,1,Sí,0.0055535400260015065,0.35367227539912216
13126,QUINTA NORMAL,QUINTA NORMAL,SANTIAGO,1,Sí,0.0011458740238498803,0.17626079266491704
13127,RECOLETA,RECOLETA,SANTIAGO,1,Sí,0.0015302538499613935,0.1812441254214786
13128,RENCA,RENCA,SANTIAGO,1,Sí,0.002302747183413767,0.2916073403832484
13129,SAN JOAQUÍN,SAN JOAQUÍN,SANTIAGO,1,Sí,0.0009653209463988401,0.13510165612859815
13130,SAN MIGUEL,SAN MIGUEL,SANTIAGO,1,Sí,0.0009331156268539691,0.12894309725282443
13131,SAN RAMÓN,SAN RAMÓN,SANTIAGO,1,Sí,0.0006094708277680592,0.11143793273972709
13132,VITACURA,VITACURA,SANTIAGO,1,Sí,0.002755757404112285,0.26290262513558627
