CUT,COMUNA,zonal_urbano_n_per,manzanas_total_n_per,manzanas_aldea_n_per,entidades_rural_n_per,poblacion_oficial_censo2024,manzanas_mas_entidades_n_per,brecha_vs_oficial,cobertura_pct
13101,SANTIAGO,432081.0,432081.0,0.0,0.0,438856,432081.0,6775.0,98.46
13102,CERRILLOS,81648.0,81648.0,0.0,0.0,85041,81648.0,3393.0,96.01
13103,CERRO NAVIA,124888.0,124888.0,0.0,0.0,127250,124888.0,2362.0,98.14
13104,CONCHALÍ,120365.0,120365.0,0.0,0.0,121587,120365.0,1222.0,98.99
13105,EL BOSQUE,151990.0,151990.0,0.0,0.0,155257,151990.0,3267.0,97.9
13106,ESTACIÓN CENTRAL,179223.0,179223.0,0.0,0.0,181049,179223.0,1826.0,98.99
13107,HUECHURABA,100606.0,100606.0,0.0,93.0,101808,100699.0,1109.0,98.91
13108,INDEPENDENCIA,115162.0,115162.0,0.0,0.0,116943,115162.0,1781.0,98.48
13109,LA CISTERNA,101845.0,101845.0,0.0,0.0,103157,101845.0,1312.0,98.73
13110,LA FLORIDA,371110.0,371110.0,0.0,123.0,374836,371233.0,3603.0,99.04
13111,LA GRANJA,110812.0,110812.0,0.0,0.0,112022,110812.0,1210.0,98.92
13112,LA PINTANA,173448.0,173448.0,0.0,0.0,175421,173448.0,1973.0,98.88
13113,LA REINA,89300.0,89300.0,0.0,0.0,89870,89300.0,570.0,99.37
13114,LAS CONDES,292863.0,292863.0,0.0,0.0,296134,292863.0,3271.0,98.9
13115,LO BARNECHEA,108782.0,108782.0,0.0,769.0,112620,109551.0,3069.0,97.27
13116,LO ESPEJO,85958.0,85958.0,0.0,0.0,87295,85958.0,1337.0,98.47
13117,LO PRADO,90079.0,90079.0,0.0,0.0,91290,90079.0,1211.0,98.67
13118,MACUL,122712.0,122712.0,0.0,0.0,123800,122712.0,1088.0,99.12
13119,MAIPÚ,495429.0,496347.0,918.0,1694.0,503635,498041.0,5594.0,98.89
13120,ÑUÑOA,239730.0,239730.0,0.0,0.0,241467,239730.0,1737.0,99.28
13121,PEDRO AGUIRRE CERDA,94610.0,94610.0,0.0,0.0,96062,94610.0,1452.0,98.49
13122,PEÑALOLÉN,232654.0,232654.0,0.0,0.0,236478,232654.0,3824.0,98.38
13123,PROVIDENCIA,142742.0,142742.0,0.0,0.0,143974,142742.0,1232.0,99.14
13124,PUDAHUEL,218318.0,221269.0,2951.0,3717.0,227820,224986.0,2834.0,98.76
13125,QUILICURA,203166.0,203166.0,0.0,457.0,205624,203623.0,2001.0,99.03
13126,QUINTA NORMAL,127669.0,127669.0,0.0,0.0,129351,127669.0,1682.0,98.7
13127,RECOLETA,150729.0,150729.0,0.0,0.0,154615,150729.0,3886.0,97.49
13128,RENCA,142305.0,142305.0,0.0,0.0,143622,142305.0,1317.0,99.08
13129,SAN JOAQUÍN,94824.0,94824.0,0.0,0.0,95602,94824.0,778.0,99.19
13130,SAN MIGUEL,149778.0,149778.0,0.0,0.0,150829,149778.0,1051.0,99.3
13131,SAN RAMÓN,74802.0,74802.0,0.0,0.0,76002,74802.0,1200.0,98.42
13132,VITACURA,85380.0,85380.0,0.0,0.0,86420,85380.0,1040.0,98.8
13201,PUENTE ALTO,560695.0,560695.0,0.0,18.0,568086,560713.0,7373.0,98.7
13202,PIRQUE,12404.0,15565.0,3161.0,12074.0,29060,27639.0,1421.0,95.11
13203,SAN JOSÉ DE MAIPO,10658.0,11414.0,756.0,4943.0,17441,16357.0,1084.0,93.78
13301,COLINA,141946.0,144642.0,2696.0,25722.0,173293,170364.0,2929.0,98.31
13302,LAMPA,115873.0,120044.0,4171.0,23075.0,145160,143119.0,2041.0,98.59
13303,TILTIL,14461.0,16301.0,1840.0,3210.0,19742,19511.0,231.0,98.83
13401,SAN BERNARDO,296058.0,296664.0,606.0,3768.0,306371,300432.0,5939.0,98.06
13402,BUIN,101037.0,104291.0,3254.0,10121.0,116969,114412.0,2557.0,97.81
13403,CALERA DE TANGO,10286.0,13307.0,3021.0,11116.0,25491,24423.0,1068.0,95.81
13404,PAINE,49830.0,52475.0,2645.0,24262.0,78828,76737.0,2091.0,97.35
13501,MELIPILLA,88709.0,94282.0,5573.0,37185.0,136325,131467.0,4858.0,96.44
13502,ALHUÉ,4085.0,5458.0,1373.0,2281.0,7768,7739.0,29.0,99.63
13503,CURACAVÍ,19450.0,22971.0,3521.0,11352.0,35165,34323.0,842.0,97.61
13504,MARÍA PINTO,6615.0,9005.0,2390.0,6244.0,15352,15249.0,103.0,99.33
13505,SAN PEDRO,0.0,933.0,933.0,10082.0,11108,11015.0,93.0,99.16
13601,TALAGANTE,58341.0,59646.0,1305.0,15007.0,76429,74653.0,1776.0,97.68
13602,EL MONTE,30286.0,31600.0,1314.0,5313.0,37497,36913.0,584.0,98.44
13603,ISLA DE MAIPO,28623.0,30363.0,1740.0,8035.0,39274,38398.0,876.0,97.77
13604,PADRE HURTADO,73891.0,74836.0,945.0,4678.0,81243,79514.0,1729.0,97.87
13605,PEÑAFLOR,85671.0,85671.0,0.0,7365.0,94402,93036.0,1366.0,98.55
