establecimiento_codigo,establecimiento_codigo_antiguo,establecimiento_glosa,tipo_establecimiento_glosa,ambito_funcionamiento,comuna_codigo,comuna_glosa,latitud,longitud,estado_funcionamiento
110012,10-012,Clínica Dental Móvil Simple. Pat. PW4083 (Curacaví),Unidad de Procedimientos Móvil,Unidad de Atención,13503,Curacaví,,,Cerrado
111782,11-782,Centro Comunitario de Salud Familiar El Abrazo,Centro Comunitario de Salud Familiar (CECOSF),Establecimiento de Salud,13119,Maipú,,,Cerrado
112820,12-820,SAPU Centro de Urgencia Ñuñoa,Servicio de Atención Primaria de Urgencia (SAPU),Establecimiento de Salud,13120,Ñuñoa,,,Cerrado
200142,12-903,SAPU La Reina,Servicio de Atención Primaria de Urgencia (SAPU),Establecimiento de Salud,13113,La Reina,,,Cerrado
114050,14-050,Hospital de Campaña Rusia (Puente Alto),Dispositivo Incorporado por Crisis Sanitaria,Unidad de Atención,13201,Puente Alto,,,Cerrado
114230,14-230,Clínica Astra Puente Alto,Clínica,Establecimiento de Salud,13201,Puente Alto,,,Cerrado
113251,13-251,Clínica Astra San Bernardo,Clínica,Establecimiento de Salud,13401,San Bernardo,,,Cerrado
111289,11-289,Centro de Salud Mutual CChC Maipú,Centro de Salud Privado,Establecimiento de Salud,13119,Maipú,,,Cerrado
112513,12-513,Clínica Astra Providencia,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
201104,,INNOVATION HEALTH,Vacunatorio,Establecimiento de Salud,13114,Las Condes,,,Cerrado
110450,10-450,Posta de Salud Rural Pomaire,Posta de Salud Rural (PSR),Establecimiento de Salud,13501,Melipilla,,,Cerrado
110480,10-480,Posta de Salud Rural San Pedro,Posta de Salud Rural (PSR),Establecimiento de Salud,13505,San Pedro,,,Cerrado
110500,10-500,Posta de Salud Rural Villa Alhué,Posta de Salud Rural (PSR),Establecimiento de Salud,13502,Alhué,,,Cerrado
111215,11-215,Clínica Las Violetas,Clínica,Establecimiento de Salud,13101,Santiago,,,Cerrado
111223,11-223,Clínica Psiquiatrica España,Clínica,Establecimiento de Salud,13101,Santiago,,,Cerrado
111229,11-229,Clínica San Javier,Clínica,Establecimiento de Salud,13101,Santiago,,,Cerrado
111268,11-268,Clínica del Trabajador AChS,Clínica,Establecimiento de Salud,13501,Melipilla,,,Cerrado
111273,11-273,Centro Vida Integra de Maipú,Centro de Salud Privado,Establecimiento de Salud,13119,Maipú,,,Cerrado
112202,12-202,Clínica Costanera,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
112219,12-219,Clínica Servet,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
112231,12-231,Clínica Sara Moncada,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
112245,12-245,Clínica Santa Rafaela,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
112270,12-270,Clínica Tregua,Clínica,Establecimiento de Salud,13120,Ñuñoa,,,Cerrado
112273,12-273,Centro Médico Pediátrico Integral Mediclown,Centro de Salud Privado,Establecimiento de Salud,13123,Providencia,,,Cerrado
112503,12-503,Clínica Mella,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
112511,12-511,Clínica Arauco Salud,Clínica,Establecimiento de Salud,13114,Las Condes,,,Cerrado
112524,12-524,Clínica Los Coihues,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
112528,12-528,Clínica Las Lilas,Clínica,Establecimiento de Salud,13123,Providencia,,,Cerrado
112981,12-981,Centro Mater Esperanza Nueva Limitada,Centro de Salud Privado,Establecimiento de Salud,13120,Ñuñoa,,,Cerrado
112996,12-996,Centro de Salud Dial Médica,Centro de Salud Privado,Establecimiento de Salud,13123,Providencia,,,Cerrado
113245,13-245,Clínica Santa Amalia,Clínica,Establecimiento de Salud,13109,La Cisterna,,,Cerrado
113261,13-261,Radiológico y Laboratorio Santa Lucía,Laboratorio Clínico,Establecimiento de Salud,13401,San Bernardo,,,Cerrado
113403,13-403,Posta de Salud Rural Alto Jahuel,Posta de Salud Rural (PSR),Establecimiento de Salud,13402,Buin,,,Cerrado
114150,14-150,Centro de Referencia de Salud San Rafael,Dispositivo Incorporado por Crisis Sanitaria,Unidad de Atención,13110,La Florida,,,Cerrado
114203,14-203,Clínica Salud Ltda.,Clínica,Establecimiento de Salud,13110,La Florida,,,Cerrado
114404,14-404,Posta de Salud Rural Lo Arcaya,Posta de Salud Rural (PSR),Establecimiento de Salud,13202,Pirque,,,Cerrado
200092,12-992,Clínica Dermacross,Centro de Salud Privado,Establecimiento de Salud,13132,Vitacura,,,Cerrado
200555,12-936,Clínica Médico Quirúrgica Proyecto Clínica,Clínica,Establecimiento de Salud,13132,Vitacura,,,Cerrado
